SurveyResponseID,AnswerNumber,TripID,SpendType,ImputedSpendAmt,NonImputedSpendAmt,IndivOrTotalCosts,NoPeople,NoChildren,TripYear,TripQtr,TripType,POV,NoNightsOnTrip,ImputedSpendAccom,ImputedSpendTrnsport,SmoothedTripWeight,ExpenditureWeight,RespondentWeight
2790608,35,17153401,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,23.9652085999505,7534.81178094221,7534.81178094221,144.503239634508
2788436,67,16936202,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,48.2082081592473,7207.13560354795,7207.13560354795,138.219038972152
2790056,67,17098202,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Publicised special event,NA,NA,23.4224861020467,23601.9944941514,23601.9944941514,452.640990298794
2790152,67,17107802,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,12.494543286058,12378.1865234303,12378.1865234303,237.389878531539
2787506,68,16843202,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Hospital/Medical Treatment,NA,NA,51.0519829467674,5095.22948144631,5095.22948144631,97.716729781162
2787850,68,16877602,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Holiday,NA,NA,26.2320285300073,10426.9685537617,10426.9685537617,199.969259935156
2789013,68,16993902,Alcohol,7.35297397769517,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,23.2285827033993,4468.46375872965,4468.46375872965,85.696565235911
2789048,68,16997402,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,203.864902669278,7025.28722354554,7025.28722354554,134.731535794024
2789225,68,17015102,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,18.4267546028924,12286.06358147,12286.06358147,235.623137178876
2789267,68,17019302,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,17.7914281548981,21535.1711120492,21535.1711120492,413.003281600944
2789312,68,17023802,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,17.794113054664,12252.6415146871,12252.6415146871,234.982166035095
2789498,68,17042402,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,15.8945056918641,14202.3291492511,47926.4368609649,919.137145278778
2789533,68,17045902,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,10.3338381618461,3195.08541025502,3195.08541025502,61.2756106076305
2789707,68,17063302,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,18.8759251678343,10986.5902988193,10986.5902988193,210.701731758178
2787334,69,16826002,Alcohol,7.35297397769517,0,Individual,1,0,2010,3,Day Trip,Participating in sports activity,NA,NA,28.8457268712388,5586.5212933658,5586.5212933658,107.138764530303
2787472,69,16839802,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,31.2025467999307,3518.14422469168,3518.14422469168,67.4712591036761
2787613,69,16853902,Alcohol,7.35297397769517,40,Total,2,0,2010,3,Day Trip,Recreation,NA,NA,114.764199122083,8307.10106470373,8307.10106470373,159.314266994318
2787745,69,16867102,Alcohol,1.77022573735376,8,Total,2,0,2010,3,Day Trip,Personal Business,NA,NA,24.4926844600092,9003.80546951974,9003.80546951974,172.675721333255
2788166,69,16909202,Alcohol,7.35297397769517,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,33.9284293352958,10386.9679251528,10386.9679251528,199.202124591972
2788674,69,16960002,Alcohol,3.98490813648294,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,14.0098689882673,10106.2283684177,10106.2283684177,193.818078298421
2788751,69,16967702,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,33.009132778336,6061.60499882582,6061.60499882582,116.249958881591
2788815,69,16974102,Alcohol,2.42863720073665,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,38.4288282650075,24835.239809358,24835.239809358,476.292270316455
2788828,69,16975402,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,18.2396643562142,15211.2324304263,15211.2324304263,291.722265788998
2788953,69,16987902,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Participating in sports activity,NA,NA,27.7568030586183,6042.4431488413,6042.4431488413,115.882471347641
2789005,69,16993102,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,32.1901716772906,30865.1136115937,30865.1136115937,591.933685701796
2789143,69,17006902,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,30.4442313261787,14715.0024318683,14715.0024318683,282.205526090626
2789422,69,17034802,Alcohol,7.35297397769517,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,28.8457268712388,7198.28030213282,7198.28030213282,138.04921127378
2789596,69,17052202,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Education Or Study,NA,NA,21.4315554010045,16050.0712356721,16050.0712356721,307.809585341657
2789972,69,17089802,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,13.5047401614972,12581.4090215289,12581.4090215289,241.287296303294
2790258,69,17118402,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,45.0250549238813,20052.1012569654,20052.1012569654,384.560846023993
2790502,69,17142802,Alcohol,1.70666666666667,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,270.39219369178,9226.75533214667,9226.75533214667,176.951472123361
2790534,69,17146002,Alcohol,3.11734693877551,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,13.6210870181427,5110.94773392645,5110.94773392645,98.0181757191374
2790643,69,17156902,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,31.1197480222689,26099.7162801971,26099.7162801971,500.542504003781
2787621,70,16854702,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,38.4135612907888,4582.32767562506,4582.32767562506,87.8802567928094
2788813,70,16973902,Alcohol,3.11734693877551,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,15.5823345651971,7838.98820033591,7838.98820033591,150.336760006442
2788436,101,16936203,Alcohol,7.35297397769517,0,NA,0,0,2010,3,Day Trip,Visiting friends,NA,NA,23.9233531218431,7207.13560354795,7207.13560354795,138.219038972152
2787634,102,16856003,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,15.0816519347878,6684.82017736324,6684.82017736324,128.202030798747
2789864,102,17079003,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,29.02701938642,28404.6582985022,28404.6582985022,544.746871478124
2790218,102,17114403,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,304.020165046869,8600.58066872882,8600.58066872882,164.942642961923
2787706,103,16863203,Alcohol,1.42702936096718,40,Total,2,0,2010,3,Day Trip,Sightseeing,NA,NA,62.3601727128624,12813.3053479432,12813.3053479432,245.734623111239
2787870,103,16879604,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,36.0492775633952,16824.2103652184,16824.2103652184,322.656089195969
2788953,103,16987903,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,98.1490788077078,6042.4431488413,6042.4431488413,115.882471347641
2789252,103,17017803,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,14.9165311584509,15180.6585618055,15180.6585618055,291.135917623667
2789972,103,17089803,Alcohol,1.70666666666667,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,48.2318953199252,12581.4090215289,12581.4090215289,241.287296303294
2790155,103,17108103,Alcohol,3.11734693877551,20,Total,2,0,2010,3,Day Trip,Recreation,NA,NA,11.7915613823125,5235.30335993966,5235.30335993966,100.403078135829
2790502,103,17142803,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,70.2628985108202,9226.75533214667,9226.75533214667,176.951472123361
2790685,103,17161103,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,47.8555508234828,13905.8058223902,13905.8058223902,266.686687004743
2790727,103,17165304,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,12.0287953538546,15364.4010916035,15364.4010916035,296.846008276721
2788813,104,16973903,Alcohol,3.11734693877551,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,15.5823345651971,7838.98820033591,7838.98820033591,150.336760006442
2789957,104,17088303,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,325.991957669292,6770.57331877571,6770.57331877571,129.846611592959
2789999,104,17092503,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,21.368119941522,5130.24372252059,5130.24372252059,98.3882357743676
2790028,104,17095403,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,93.5766118904597,7620.89399207583,7620.89399207583,146.154131354879
2787668,137,16859404,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Skiing,NA,NA,49.0642023183347,11715.4043526694,11715.4043526694,224.67898758544
2790155,137,17108104,Alcohol,5.50458468176915,10,Total,2,0,2010,3,Day Trip,Skiing,NA,NA,34.6056788336188,5235.30335993966,5235.30335993966,100.403078135829
2790685,137,17161104,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,32.1700658201085,13905.8058223902,13905.8058223902,266.686687004743
2790654,138,17158004,Alcohol,3.47222222222222,30,Individual,1,0,2010,3,Day Trip,Participating in sports activity,NA,NA,25.14921661476,23580.2690388083,23580.2690388083,452.224337730569
2787668,171,16859405,Alcohol,1.42702936096718,30,Total,2,0,2010,3,Day Trip,Visiting friends,NA,NA,21.7484306599729,11715.4043526694,11715.4043526694,224.67898758544
2790192,204,17111806,Alcohol,5.50458468176915,100,Total,2,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,60.6562194806683,12509.8564729311,12509.8564729311,239.915055645255
