Code,Description,Sort
1,"Fully Independent Traveller",
2,"Independent Traveller",
3,"Package",
4,"Semi Independent Traveller",
5,"Tour Group",
6,"Tour",
7,"Unknown Independent Traveller",
99999,"All",
