Code,Description,SortOrder
1,"All", 
2,"Auckland", 
3,"Bay of Plenty", 
4,"Canterbury", 
5,"Gisborne", 
6,"Hawke's Bay", 
7,"Manawatu-Wanganui", 
8,"Marlborough", 
9,"Nelson", 
10,"Northland", 
11,"Otago", 
12,"Southland", 
13,"Taranaki", 
14,"Tasman", 
15,"Waikato", 
16,"Wellington", 
17,"West Coast", 
