MeasureCode,MeasureTitle
"Total_Spend","Total visitor spend"
"Total_Visits","Total visitors"
"Mean_Spend_per_Visitor","Mean visitor spend"
"Mean_Spend_per_LOS","Average spend per night"
"Sample_Count","Number of respondents"
