Code,Description,SortOrder
1,"Africa and Middle East", 
2,"Australia", 
3,"Canada", 
4,"China", 
5,"Germany", 
6,"Japan", 
7,"Korea, Republic of", 
8,"Rest of Americas", 
9,"Rest of Asia", 
10,"Rest of Europe", 
11,"Rest of Oceania", 
12,"UK", 
13,"USA", 
14,"All", 
