Code,Description,SortOrder
1,"Africa and Middle East", 
2,"All", 
3,"Australia", 
4,"Canada", 
5,"China", 
6,"Germany", 
7,"Japan", 
8,"Korea, Republic of", 
9,"Rest of Americas", 
10,"Rest of Asia", 
11,"Rest of Europe", 
12,"Rest of Oceania", 
13,"UK", 
14,"USA", 
