Code,Description,SortOrder
1,0 nights,1
2,1 nights,2
3,2 nights,3
4,3 nights,4
5,4 nights,5
6,5 nights,6
7,6 nights,7
8,7 nights,8
9,8 nights,9
10,9 nights,10
11,10 nights,11
12,11 nights,12
13,12 nights,13
14,13 nights,14
15,14 nights,15
16,15 nights to less than one month,16
17,One month to less than two months,17
18,Two months to less than three months,18
19,Three months to less than six months,19
20,All,20
